Custom-classification-lr-SGD/pg1,Custom-classification-lr-SGD/pg2,step,Custom-classification-train_loss,Custom-classification-epoch,Custom-classification-valid_mac_acc,Custom-classification-valid_mic_acc
,,987,,3,86.84174998845357,90.93535572408811
0.01,0.01,989,,,,
,,989,0.38812699913978577,4,,
0.01,0.01,999,,,,
,,999,0.297295480966568,4,,
0.01,0.01,1009,,,,
,,1009,0.22598896920681,4,,
0.01,0.01,1019,,,,
,,1019,0.4832265377044678,4,,
0.01,0.01,1029,,,,
,,1029,0.45809030532836914,4,,
0.01,0.01,1039,,,,
,,1039,0.3909691572189331,4,,
0.01,0.01,1049,,,,
,,1049,0.3752557635307312,4,,
0.01,0.01,1059,,,,
,,1059,0.36210760474205017,4,,
0.01,0.01,1069,,,,
,,1069,0.44580554962158203,4,,
0.01,0.01,1079,,,,
,,1079,0.5042425990104675,4,,
0.01,0.01,1089,,,,
,,1089,0.4532279670238495,4,,
0.01,0.01,1099,,,,
,,1099,0.5915713310241699,4,,
0.01,0.01,1109,,,,
,,1109,0.35239824652671814,4,,
0.01,0.01,1119,,,,
,,1119,0.5840846300125122,4,,
0.01,0.01,1129,,,,
,,1129,0.43404027819633484,4,,
0.01,0.01,1139,,,,
,,1139,0.545180082321167,4,,
0.01,0.01,1149,,,,
,,1149,0.42265477776527405,4,,
0.01,0.01,1159,,,,
,,1159,0.35549262166023254,4,,
0.01,0.01,1169,,,,
,,1169,0.5083341002464294,4,,
0.01,0.01,1179,,,,
,,1179,0.36596640944480896,4,,
0.01,0.01,1189,,,,
,,1189,0.47296541929244995,4,,
0.01,0.01,1199,,,,
,,1199,0.4498409926891327,4,,
0.01,0.01,1209,,,,
,,1209,0.43565529584884644,4,,
0.01,0.01,1219,,,,
,,1219,0.349945992231369,4,,
0.01,0.01,1229,,,,
,,1229,0.27010577917099,4,,
,,1234,,4,90.27382205711159,92.81328999638859
0.01,0.01,1239,,,,
,,1239,0.3483104407787323,5,,
0.01,0.01,1249,,,,
,,1249,0.5191869735717773,5,,
0.01,0.01,1259,,,,
,,1259,0.30658358335494995,5,,
0.01,0.01,1269,,,,
,,1269,0.48111292719841003,5,,
0.01,0.01,1279,,,,
,,1279,0.45744597911834717,5,,
0.01,0.01,1289,,,,
,,1289,0.4716487526893616,5,,
0.01,0.01,1299,,,,
,,1299,0.34145334362983704,5,,
0.01,0.01,1309,,,,
,,1309,0.4137858748435974,5,,
0.01,0.01,1319,,,,
,,1319,0.29374605417251587,5,,
0.01,0.01,1329,,,,
,,1329,0.32397598028182983,5,,
0.01,0.01,1339,,,,
,,1339,0.4662531614303589,5,,
0.01,0.01,1349,,,,
,,1349,0.4196174144744873,5,,
0.01,0.01,1359,,,,
,,1359,0.3696756362915039,5,,
0.01,0.01,1369,,,,
,,1369,0.3061066269874573,5,,
0.01,0.01,1379,,,,
,,1379,0.4310140013694763,5,,
0.01,0.01,1389,,,,
,,1389,0.5655864477157593,5,,
0.01,0.01,1399,,,,
,,1399,0.3658968508243561,5,,
0.01,0.01,1409,,,,
,,1409,1.1511465311050415,5,,
0.01,0.01,1419,,,,
,,1419,0.4432777166366577,5,,
0.01,0.01,1429,,,,
,,1429,0.6412867903709412,5,,
0.01,0.01,1439,,,,
,,1439,0.31820762157440186,5,,
0.01,0.01,1449,,,,
,,1449,0.25393590331077576,5,,
0.01,0.01,1459,,,,
,,1459,0.31840065121650696,5,,
0.01,0.01,1469,,,,
,,1469,0.36051446199417114,5,,
0.01,0.01,1479,,,,
,,1479,0.40357568860054016,5,,
,,1481,,5,88.2145314459562,90.53810039725533
0.01,0.01,1489,,,,
,,1489,0.534340500831604,6,,
0.01,0.01,1499,,,,
,,1499,0.3831678628921509,6,,
0.01,0.01,1509,,,,
,,1509,0.5019767880439758,6,,
0.01,0.01,1519,,,,
,,1519,0.5525900721549988,6,,
0.01,0.01,1529,,,,
,,1529,0.6053239107131958,6,,
0.01,0.01,1539,,,,
,,1539,0.36918219923973083,6,,
0.01,0.01,1549,,,,
,,1549,0.4756174087524414,6,,
0.01,0.01,1559,,,,
,,1559,0.3875262141227722,6,,
0.01,0.01,1569,,,,
,,1569,0.4133481979370117,6,,
0.01,0.01,1579,,,,
,,1579,0.4067046344280243,6,,
0.01,0.01,1589,,,,
,,1589,0.32469210028648376,6,,
0.01,0.01,1599,,,,
,,1599,0.3569895029067993,6,,
0.01,0.01,1609,,,,
,,1609,0.4126760959625244,6,,
0.01,0.01,1619,,,,
,,1619,0.46512895822525024,6,,
0.01,0.01,1629,,,,
,,1629,0.5746256709098816,6,,
0.01,0.01,1639,,,,
,,1639,0.35618841648101807,6,,
0.01,0.01,1649,,,,
,,1649,0.6088593006134033,6,,
0.01,0.01,1659,,,,
,,1659,0.7573972940444946,6,,
0.01,0.01,1669,,,,
,,1669,0.31794869899749756,6,,
0.01,0.01,1679,,,,
,,1679,0.4636606276035309,6,,
0.01,0.01,1689,,,,
,,1689,0.4023955166339874,6,,
0.01,0.01,1699,,,,
,,1699,0.3094560205936432,6,,
0.01,0.01,1709,,,,
,,1709,0.4699835181236267,6,,
0.01,0.01,1719,,,,
,,1719,0.45667558908462524,6,,
,,1728,,6,89.64199560169916,92.34380642831347
0.01,0.01,1729,,,,
,,1729,0.46222975850105286,7,,
0.01,0.01,1739,,,,
,,1739,0.5305023193359375,7,,
0.01,0.01,1749,,,,
,,1749,0.3744044899940491,7,,
0.01,0.01,1759,,,,
,,1759,0.2930520474910736,7,,
0.01,0.01,1769,,,,
,,1769,0.287134051322937,7,,
0.01,0.01,1779,,,,
,,1779,0.21788309514522552,7,,
0.01,0.01,1789,,,,
,,1789,0.32178980112075806,7,,
0.01,0.01,1799,,,,
,,1799,0.3394588828086853,7,,
0.01,0.01,1809,,,,
,,1809,0.48362183570861816,7,,
0.01,0.01,1819,,,,
,,1819,0.3945956826210022,7,,
0.01,0.01,1829,,,,
,,1829,0.4451214373111725,7,,
0.01,0.01,1839,,,,
,,1839,0.3160436153411865,7,,
0.01,0.01,1849,,,,
,,1849,0.35066062211990356,7,,
0.01,0.01,1859,,,,
,,1859,0.40771645307540894,7,,
0.01,0.01,1869,,,,
,,1869,0.5497059226036072,7,,
0.01,0.01,1879,,,,
,,1879,0.3742024004459381,7,,
0.01,0.01,1889,,,,
,,1889,0.2926692068576813,7,,
0.01,0.01,1899,,,,
,,1899,0.5290313363075256,7,,
0.01,0.01,1909,,,,
,,1909,0.21344977617263794,7,,
0.01,0.01,1919,,,,
,,1919,0.4017055034637451,7,,
0.01,0.01,1929,,,,
,,1929,0.25107240676879883,7,,
0.01,0.01,1939,,,,
